"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "XML", "TypeScript JSX", "Ignore", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\hypnotized\projects\Void-chat\tailwind.config.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 103
"c:\Users\hypnotized\projects\Void-chat\tsconfig.app.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\hypnotized\projects\Void-chat\tsconfig.json", "JSON with Comments", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"c:\Users\hypnotized\projects\Void-chat\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\hypnotized\projects\Void-chat\vite.config.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\hypnotized\projects\Void-chat\vitest.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35, 70
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\README.md", "Markdown", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 50, 150
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\package.json", "JSON", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\src\LineCount.ts", "TypeScript", 0, 0, 625, 0, 0, 0, 0, 0, 0, 0, 0, 69, 113, 807
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\src\extension.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 73
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\src\util.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 58
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\test\extension.test.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 22
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\test\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 22
"c:\Users\hypnotized\projects\Void-chat\vscode-linecounter\tsconfig.json", "JSON with Comments", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"Total", "-", 21, 8703, 2565, 704, 31, 237, 70, 6674, 13, 93, 281, 280, 2034, 21706
